"date"	"Observed"	"PredictionX"
"1"	1996-12-03	0	3.53373912122882
"2"	1996-12-04	0	3.58776437787398
"3"	1996-12-05	21	3.56055432522013
"4"	1996-12-06	21	3.52187855023267
"5"	1996-12-07	21	3.51543258773476
"6"	1996-12-08	21	3.51543258773476
"7"	1996-12-09	21	3.5365753447279
"8"	1996-12-10	21	3.51697961873426
"9"	1996-12-11	21	3.52677748173108
"10"	1996-12-12	21	3.5381223757274
"11"	1996-12-13	21	3.55797594022096
"12"	1996-12-14	21	3.51543258773476
"13"	1996-12-15	21	3.51543258773476
"14"	1996-12-16	21	3.64836658360792
"15"	1996-12-17	21	3.54526130150021
"16"	1996-12-18	21	3.53425479822866
"17"	1996-12-19	21	3.53477047522849
"18"	1996-12-20	21	3.56948985178559
"19"	1996-12-21	21	3.4985278063708
"20"	1996-12-22	21	3.55123448898507
"21"	1996-12-23	21	3.59945028846943
"22"	1996-12-24	21	3.56412641398089
"23"	1996-12-25	21	3.81960633707747
"24"	1996-12-26	21	3.57856536997621
"25"	1996-12-27	21	3.61469098893339
"26"	1996-12-28	21	3.55123448898507
"27"	1996-12-29	21	3.55123448898507
"28"	1996-12-30	21	3.58991026397253
"29"	1996-12-31	21	3.73730542123813
"30"	1997-01-01	21	4.08217373494723
"31"	1997-01-02	21	3.97379687807568
"32"	1997-01-03	21	4.31090093556206
"33"	1997-01-04	0	3.80565315060521
"34"	1997-01-05	0	3.80565315060521
"35"	1997-01-06	0	3.81854507560103
"36"	1997-01-07	0	3.88368673661078
"37"	1997-01-08	0	3.87093784534937
"38"	1997-01-09	16	3.80638750989183
"39"	1997-01-10	16	3.80599266122928
"40"	1997-01-11	16	3.90011691646128
"41"	1997-01-12	65	3.90011691646128
"42"	1997-01-13	65	3.9052736864596
"43"	1997-01-14	65	4.08298500552159
"44"	1997-01-15	65	3.90578936345944
"45"	1997-01-16	65	4.08493893232718
"46"	1997-01-17	65	4.07547343648336
"47"	1997-01-18	65	3.90011691646128
"48"	1997-01-19	65	3.90011691646128
"49"	1997-01-20	65	3.92074399645459
"50"	1997-01-21	65	4.01335242871881
"51"	1997-01-22	65	3.81270397839111
"52"	1997-01-23	85	3.92690233956699
"53"	1997-01-24	85	3.81491574369661
"54"	1997-01-25	85	3.80718058869912
"55"	1997-01-26	85	3.80718058869912
"56"	1997-01-27	85	3.81929899819519
"57"	1997-01-28	85	3.81233735869745
"58"	1997-01-29	85	3.92667273003597
"59"	1997-01-30	85	4.09128660885819
"60"	1997-01-31	85	3.84511107715572
"61"	1997-02-01	85	3.80718058869912
"62"	1997-02-02	85	3.80718058869912
"63"	1997-02-03	85	3.84035319667512
"64"	1997-02-04	85	3.83519642667679
"65"	1997-02-05	85	3.85633918366994
"66"	1997-02-06	85	3.87739536486646
"67"	1997-02-07	85	3.8400953581752
"68"	1997-02-08	69	3.72339213564639
"69"	1997-02-09	104	3.72339213564639
"70"	1997-02-10	104	3.90247319943281
"71"	1997-02-11	55	3.45009221234336
"72"	1997-02-12	55	3.46470243104197
"73"	1997-02-13	55	3.41167427585582
"74"	1997-02-14	55	3.56920568684301
"75"	1997-02-15	55	3.54658474513406
"76"	1997-02-16	55	3.54658474513406
"77"	1997-02-17	55	3.56831168420835
"78"	1997-02-18	55	4.0817561244315
"79"	1997-02-19	55	4.04439965980246
"80"	1997-02-20	55	3.91131494767676
"81"	1997-02-21	55	3.87531250853026
"82"	1997-02-22	35	3.69026414455359
"83"	1997-02-23	35	3.69026414455359
"84"	1997-02-24	35	3.72249395704314
"85"	1997-02-25	35	3.86800971615624
"86"	1997-02-26	35	3.8027664174238
"87"	1997-02-27	53	3.70985987054723
"88"	1997-02-28	53	3.88244867215156
"89"	1997-03-01	53	3.86567049177419
"90"	1997-03-02	53	3.86567049177419
"91"	1997-03-03	53	3.87134293877235
"92"	1997-03-04	53	3.95434886503012
"93"	1997-03-05	53	3.9122236795352
"94"	1997-03-06	53	3.86342972154145
"95"	1997-03-07	53	3.82513261339119
"96"	1997-03-08	53	3.81920232789312
"97"	1997-03-09	53	3.81920232789312
"98"	1997-03-10	53	3.84509059706511
"99"	1997-03-11	18	3.63429555392514
"100"	1997-03-12	18	3.63300636142556
"101"	1997-03-13	18	3.67577280821413
"102"	1997-03-14	18	3.68918041020978
"103"	1997-03-15	18	3.65385653572124
"104"	1997-03-16	18	3.65385653572124
"105"	1997-03-17	18	3.72448621398302
"106"	1997-03-18	18	3.96597441335562
"107"	1997-03-19	18	3.99897774134492
"108"	1997-03-20	18	4.12335676703665
"109"	1997-03-21	18	3.96339602835646
"110"	1997-03-22	18	3.94532825539694
"111"	1997-03-23	18	3.94532825539694
"112"	1997-03-24	18	4.02292720145372
"113"	1997-03-25	68	3.99767107560544
"114"	1997-03-26	68	4.07886008522027
"115"	1997-03-27	68	3.97704399561214
"116"	1997-03-28	68	3.96801964811506
"117"	1997-03-29	50	3.8476544292041
"118"	1997-03-30	50	3.8476544292041
"119"	1997-03-31	50	3.96093021757406
"120"	1997-04-01	50	4.01851288996209
"121"	1997-04-02	50	3.86441393169866
"122"	1997-04-03	50	3.85667877670117
"123"	1997-04-04	50	3.83381282233276
"124"	1997-04-05	50	3.97002010083833
"125"	1997-04-06	50	3.97002010083833
"126"	1997-04-07	50	3.98265418733424
"127"	1997-04-08	50	4.04421924198652
"128"	1997-04-09	50	3.94780592611823
"129"	1997-04-10	50	3.98513085725073
"130"	1997-04-11	50	4.03889827539597
"131"	1997-04-12	50	3.97043406275549
"132"	1997-04-13	50	3.97043406275549
"133"	1997-04-14	50	3.97871914729348
"134"	1997-04-15	50	4.06904730917089
"135"	1997-04-16	50	3.97559083275382
"136"	1997-04-17	50	3.97120757825524
"137"	1997-04-18	50	4.01736066974027
"138"	1997-04-19	50	3.97043406275549
"139"	1997-04-20	50	3.97043406275549
"140"	1997-04-21	50	3.99499722532887
"141"	1997-04-22	50	4.2553881270674
"142"	1997-04-23	50	4.33174671026513
"143"	1997-04-24	0	3.68318473176532
"144"	1997-04-25	0	3.65430681977469
"145"	1997-04-26	0	3.64682950327711
"146"	1997-04-27	0	3.64682950327711
"147"	1997-04-28	0	3.68078827796904
"148"	1997-04-29	40	3.68704490704835
"149"	1997-04-30	40	3.69187533346544
"150"	1997-05-01	84	4.17877826370461
"151"	1997-05-02	84	4.11388953752231
"152"	1997-05-03	84	4.10228680502607
"153"	1997-05-04	84	4.10228680502607
"154"	1997-05-05	84	4.13529013301536
"155"	1997-05-06	84	4.1074435750244
"156"	1997-05-07	84	4.16370882594395
"157"	1997-05-08	84	4.13761067951461
"158"	1997-05-09	84	4.08529485634048
"159"	1997-05-10	84	4.07523915484374
"160"	1997-05-11	84	4.07523915484374
"161"	1997-05-12	84	4.02540905414964
"162"	1997-05-13	84	4.01303280615366
"163"	1997-05-14	84	4.04036368714479
"164"	1997-05-15	84	3.99446843415968
"165"	1997-05-16	84	4.05633160342431
"166"	1997-05-17	84	3.99240572616035
"167"	1997-05-18	84	3.99240572616035
"168"	1997-05-19	84	4.24439673859538
"169"	1997-05-20	96	4.00246142765709
"170"	1997-05-21	96	4.02179931515081
"171"	1997-05-22	96	3.99498411115951
"172"	1997-05-23	96	4.01429535868383
"173"	1997-05-24	96	3.91891512890287
"174"	1997-05-25	96	3.91891512890287
"175"	1997-05-26	96	3.92510325290086
"176"	1997-05-27	96	3.9712563443859
"177"	1997-05-28	96	3.98321364943226
"178"	1997-05-29	56	3.67240772931615
"179"	1997-05-30	56	3.74233842073127
"180"	1997-05-31	12	3.37525946897919
"181"	1997-06-01	12	3.37525946897919
"182"	1997-06-02	12	3.49976534657997
"183"	1997-06-03	12	3.394339517973
"184"	1997-06-04	12	3.46260837362312
"185"	1997-06-05	12	3.73380731841789
"186"	1997-06-06	12	3.78812466610363
"187"	1997-06-07	12	4.11196612730573
"188"	1997-06-08	12	4.11196612730573
"189"	1997-06-09	12	4.08557311099015
"190"	1997-06-10	12	4.08941245952001
"191"	1997-06-11	12	4.06388644802829
"192"	1997-06-12	12	4.095600583518
"193"	1997-06-13	12	4.05408858503146
"194"	1997-06-14	12	4.05279939253188
"195"	1997-06-15	12	4.05279939253188
